title,day_of_week
Ripley Under Ground,Sunday
Be Kind Rewind,Sunday
Itty Bitty Titty Committee,Friday
Crazy Love,Thursday
The Fugitive,Monday
Azur & Asmar: The Princes' Quest,Wednesday
August Rush,Wednesday
Space Is the Place,Friday
The Dawn Rider,Thursday
The Desperate Hours,Wednesday
"You, the Living",Friday
The Man from Earth,Sunday
No Mercy for the Rude,Thursday
Hellfighters,Wednesday
Lions for Lambs,Monday
Fred Claus,Saturday
Beowulf,Monday
Mr. Magorium's Wonder Emporium,Wednesday
Love in the Time of Cholera,Thursday
Southland Tales,Monday
Ever Since the World Ended,Saturday
The American Soldier,Friday
An Evening with Kevin Smith 2: Evening Harder,Tuesday
Kansas City Confidential,Tuesday
Harrison Bergeron,Sunday
5ive Girls,Sunday
Rails & Ties,Saturday
Darfur Now,Sunday
Heavens Fall,Thursday
I Served the King of England,Tuesday
Texas Terror,Thursday
Murder Party,Monday
Smiley Face,Sunday
12,Wednesday
XXY,Thursday
The Steel Helmet,Friday
Endgame: Blueprint for Global Enslavement,Thursday
Blame It on Fidel!,Wednesday
The Mist,Wednesday
Enchanted,Tuesday
Hitman,Wednesday
This Christmas,Tuesday
P2,Friday
Om Shanti Om,Wednesday
Awake,Wednesday
The Golden Compass,Tuesday
I Am Legend,Friday
Alvin and the Chipmunks,Thursday
Futurama: Bender's Big Score,Tuesday
Symbiopsychotaxiplasm: Take One,Monday
Margot at the Wedding,Friday
I'm Not There.,Monday
Beyond The Law,Wednesday
The Shepherd of the Hills,Friday
As Far As My Feet Will Carry Me,Wednesday
The Savages,Friday
Wrong Turn 2: Dead End,Saturday
The Orphanage,Monday
That Hamilton Woman,Thursday
Juno,Wednesday
Goodbye Bafana,Sunday
Tokyo Twilight,Tuesday
Maxed Out,Friday
My Blueberry Nights,Wednesday
The Swimming Pool,Wednesday
Cake,Thursday
Day of the Dead 2: Contagium,Wednesday
Ma Mère,Wednesday
Noise,Saturday
Party Monster: The Shockumentary,Thursday
Return to Sender,Friday
"Buy the Ticket, Take the Ride",Tuesday
Starting Out in the Evening,Monday
Redacted,Monday
Suicide Killers,Sunday
The Devil Came on Horseback,Friday
All Passion Spent,Tuesday
The Treatment,Saturday
10 Questions for the Dalai Lama,Monday
Helvetica,Wednesday
Mary,Friday
Journey from the Fall,Wednesday
The War on Democracy,Friday
The Bucket List,Tuesday
Fall from Grace,Monday
Between Two Worlds,Saturday
The Kite Runner,Sunday
Sex and Fury,Saturday
Regular Lovers,Wednesday
Allegro,Friday
The Deaths of Ian Stone,Wednesday
Commune,Thursday
Robin Hood,Friday
Train Man,Saturday
Butterfly on a Wheel,Friday
Seduced and Abandoned,Thursday
The Go-Getter,Monday
The Hamiltons,Sunday
Close My Eyes,Friday
The Flock,Saturday
The Maidens' Conspiracy,Thursday
Wristcutters: A Love Story,Tuesday
Vitus,Thursday
Joe and Max,Sunday
Longford,Thursday
The Big Bad Swim,Sunday
Sweeney Todd: The Demon Barber of Fleet Street,Thursday
National Treasure: Book of Secrets,Thursday
I Don't Want to Sleep Alone,Saturday
There Will Be Blood,Friday
W.R. - Mysteries of the Organism,Wednesday
Charlie Wilson's War,Wednesday
The Train Robbers,Wednesday
Aliens vs Predator: Requiem,Tuesday
Walk Hard: The Dewey Cox Story,Friday
Pledge This!,Friday
As You Like It,Sunday
Rabbit Without Ears,Saturday
Ricochet,Friday
Drained,Wednesday
Chicks With Sticks,Tuesday
The Great Debaters,Thursday
Mongolian Ping Pong,Saturday
Dedication,Monday
The Water Horse,Tuesday
Battlestar Galactica: Razor,Tuesday
The Mission,Friday
P.S. I Love You,Thursday
The Perfect Holiday,Wednesday
27 Dresses,Thursday
Savages,Tuesday
The Mad Magician,Wednesday
Nanking,Saturday
The Pumpkin Eater,Monday
Things I Never Told You,Friday
Killing Words,Wednesday
Lavoura Arcaica,Monday
Santa Claus Conquers the Martians,Saturday
Two Sons of Francisco,Friday
Equinox Flower,Sunday
Cassandra's Dream,Monday
10.5: Apocalypse,Saturday
The Mostly Unfabulous Social Life of Ethan Green,Friday
Taare Zameen Par,Friday
Lemonade Joe,Friday
Dragon Wars: D-War,Thursday
LOL,Monday
The Band's Visit,Saturday
In Between Days,Wednesday
[REC],Tuesday
.45,Thursday
And Soon the Darkness,Thursday
God Save the King,Friday
In the Name of the King: A Dungeon Siege Tale,Thursday
Flawless,Saturday
Live-In Maid,Tuesday
Along the Ridge,Friday
Cloverfield,Tuesday
Mad Money,Thursday
The Detonator,Tuesday
Trade,Tuesday
Cleaner,Tuesday
"Rachel, Rachel",Monday
Hatchet,Thursday
Blonde Ambition,Friday
Welcome to L.A.,Friday
Timber Falls,Friday
The Sensation Of Sight,Tuesday
Arranged,Saturday
He Was a Quiet Man,Friday
Viva Villa!,Friday
The Return of Doctor X,Saturday
The Cheyenne Social Club,Friday
"Laugh, Clown, Laugh",Saturday
The Iron Horse,Sunday
Just Pals,Thursday
3 Bad Men,Saturday
Heaven and Earth,Saturday
Cat Soup,Wednesday
The Girl Who Leapt Through Time,Saturday
Sex and Breakfast,Thursday
What?,Thursday
One Missed Call,Friday
First Sunday,Friday
Untraceable,Tuesday
Rambo,Thursday
How She Move,Friday
Meet the Spartans,Thursday
The Eye,Friday
Strange Wilderness,Friday
Over Her Dead Body,Friday
Fallen Art,Thursday
Kings of the Road,Thursday
The Signal,Thursday
Hellboy II: The Golden Army,Friday
The Green Man,Friday
Ira & Abby,Sunday
In Bruges,Friday
The Shoes of the Fisherman,Monday
That Man from Rio,Wednesday
"Clean, Shaven",Sunday
À nos amours,Wednesday
Thunder Rock,Friday
Bamako,Wednesday
World on a Wire,Sunday
The Bottom of the Sea,Wednesday
Cazuza: Time Doesn't Stop,Friday
Future by Design,Saturday
Caramel,Sunday
Poor Boy's Game,Sunday
Operation Homecoming: Writing the Wartime Experience,Friday
Rise of the Footsoldier,Friday
Joe Strummer: The Future Is Unwritten,Friday
Canvas,Sunday
The Count of Monte Cristo,Thursday
Wedding Daze,Saturday
The Prisoner of Shark Island,Friday
Dark Angel,Friday
Teeth,Friday
Crime Zone,Friday
Visiting Hours,Friday
"Big Bang Love, Juvenile A",Saturday
Noriko's Dinner Table,Saturday
Welcome Home Roscoe Jenkins,Friday
Fool's Gold,Thursday
The Great Lie,Saturday
Blue State,Friday
U2 3D,Saturday
Deep Water,Friday
The Art of Negative Thinking,Friday
In Which We Serve,Wednesday
The Motel,Saturday
Hunger,Friday
The Shout,Sunday
Jumper,Sunday
It's a Free World...,Saturday
Already Dead,Tuesday
"Definitely, Maybe",Friday
I Live in Fear,Tuesday
Four Sons,Monday
The Air I Breathe,Wednesday
Hangman's House,Sunday
Street Thief,Monday
The 10th District Court: Moments of Trial,Wednesday
Vantage Point,Friday
The Spiderwick Chronicles,Thursday
Step Up 2: The Streets,Thursday
Jodhaa Akbar,Friday
Born Reckless,Friday
Il Mare,Saturday
Up the River,Sunday
Great World of Sound,Monday
Witless Protection,Friday
The Other Boleyn Girl,Thursday
Semi-Pro,Thursday
"Run, Fatboy, Run",Thursday
Crying Out Love in the Center of the World,Saturday
Seas Beneath,Friday
Please Vote for Me,Monday
Taxi to the Dark Side,Monday
Out of the Blue,Thursday
The Method,Thursday
Which Way Is Up?,Saturday
Grace is Gone,Sunday
The Marksman,Saturday
Gran Paradiso,Monday
Keeper of the Flame,Thursday
The Emperor Waltz,Monday
Descent,Monday
College Road Trip,Friday
"10,000 BC",Friday
The Bank Job,Thursday
Doomsday,Friday
Horton Hears a Who!,Monday
Funny Games,Saturday
The Counterfeiters,Friday
Mongol: The Rise of Genghis Khan,Thursday
War Dance,Friday
The Love Guru,Friday
VeggieTales: The Pirates Who Don't Do Anything,Friday
Diary of the Dead,Saturday
Hallam Foe,Friday
Penelope,Wednesday
City of Men,Friday
Chicago 10,Monday
"Romulus, My Father",Saturday
The Woman in White,Saturday
Zeitgeist,Friday
Terkel in Trouble,Friday
Jellyfish,Saturday
Justice League: The New Frontier,Tuesday
The District,Thursday
The Hottest State,Saturday
Then She Found Me,Friday
The Naked Island,Wednesday
Sigur Rós: Heima,Thursday
What Just Happened,Friday
A Little Trip to Heaven,Monday
Downhill Racer,Thursday
Saving Sarah Cain,Sunday
Return of the Living Dead 3,Friday
Miss Pettigrew Lives for a Day,Friday
Snow Angels,Friday
Married Life,Wednesday
Believers,Monday
Sun Valley Serenade,Friday
Mala Noche,Wednesday
On the Outs,Saturday
Stupid Boy,Wednesday
The Class,Friday
The Dark Knight,Wednesday
Doctor Bull,Friday
Made in U.S.A,Saturday
Restless Natives,Tuesday
Quiet City,Monday
Phar Lap,Thursday
51 Birch Street,Wednesday
Black Dawn,Saturday
The Hammer,Sunday
Never Back Down,Tuesday
Terror's Advocate,Wednesday
9 Star Hotel,Sunday
Napoleon,Monday
CJ7,Wednesday
Drillbit Taylor,Thursday
Dead Awake,Tuesday
Under the Same Moon,Thursday
Tropical Malady,Friday
Slipstream,Saturday
Terror of Mechagodzilla,Saturday
The Smiling Lieutenant,Saturday
Alatriste,Friday
Joysticks,Friday
Spirit Trap,Friday
The Promised Land,Friday
Youth Without Youth,Friday
Khadak,Thursday
21,Thursday
Smart People,Friday
Pierrepoint: The Last Hangman,Wednesday
The Hawk Is Dying,Friday
Le Bal,Wednesday
The Gymnast,Tuesday
The Shepherd: Border Patrol,Tuesday
Leatherheads,Monday
Assembly,Tuesday
Why Not?,Thursday
Pirates,Thursday
Zebraman,Friday
Marketa Lazarová,Friday
Stop-Loss,Friday
Shine a Light,Thursday
Dark Matter,Tuesday
The Business of Being Born,Tuesday
Black Peter,Thursday
The Aerial,Tuesday
Chan Is Missing,Friday
Close to Home,Friday
White Palms,Sunday
Saawariya,Wednesday
Julia,Saturday
I Always Wanted to Be a Gangster,Friday
Just Anybody,Wednesday
The Pope's Toilet,Monday
Inside,Wednesday
Nim's Island,Thursday
The Ruins,Wednesday
Joy Division,Friday
Manda Bala (Send a Bullet),Saturday
Forgetting Sarah Marshall,Thursday
Sex and Death 101,Friday
Superhero Movie,Thursday
Street Kings,Thursday
The Visitor,Friday
Harold & Kumar Escape from Guantanamo Bay,Friday
99 francs,Tuesday
Private Property,Friday
Speed Racer,Friday
Gabriel,Thursday
Diminished Capacity,Friday
Nathalie...,Thursday
Chapter 27,Thursday
The Thief Who Came to Dinner,Thursday
The Forbidden Kingdom,Friday
Where in the World Is Osama Bin Laden?,Monday
The Life Before Her Eyes,Saturday
"Puff, Puff, Pass",Tuesday
Pulp,Wednesday
Virgin Territory,Monday
Happy-Go-Lucky,Friday
Religulous,Wednesday
Outpost,Sunday
Are You Scared?,Tuesday
Before Flying Back to Earth,Monday
Bernard and Doris,Friday
Son of Rambow,Monday
Super High Me,Saturday
Black Friday,Friday
The Invisible Ray,Monday
Murders in the Rue Morgue,Sunday
The Killer Elite,Friday
Tarzan Escapes,Friday
Tarzan Finds a Son!,Friday
Tarzan's Secret Treasure,Monday
Tarzan's New York Adventure,Friday
Viva Zapata!,Thursday
Antares,Friday
Outsourced,Tuesday
Deception,Thursday
Baby Mama,Wednesday
The Unknown Woman,Monday
Delirious,Tuesday
Klimt,Friday
Expelled: No Intelligence Allowed,Friday
Viva Cuba,Wednesday
Prom Night,Thursday
The White Massai,Wednesday
Iron Man,Wednesday
Possessed,Friday
Made of Honor,Friday
Redbelt,Monday
Mister Lonely,Wednesday
Anamorph,Friday
"The Bread, My Sweet",Saturday
Taken,Monday
Hero Wanted,Friday
Flight of the Red Balloon,Thursday
The Fall,Thursday
Stargate: The Ark of Truth,Tuesday
Walk All Over Me,Monday
Blind Dating,Friday
Meet Bill,Friday
An American Crime,Friday
What Happens in Vegas,Wednesday
White Night,Friday
American Pie Presents: Beta House,Monday
Numb,Monday
Bella,Saturday
Fiorile,Sunday
The Man Between,Wednesday
The Stars Look Down,Monday
The Unknown Soldier,Thursday
a/k/a Tommy Chong,Wednesday
The Chronicles of Narnia: Prince Caspian,Thursday
Reprise,Monday
The Window,Saturday
The Ron Clark Story,Sunday
Shelter,Saturday
American Crude,Tuesday
Young @ Heart,Thursday
"War, Inc.",Monday
The Year of the Wolf,Wednesday
The Girl Next Door,Thursday
King Corn,Friday
Indiana Jones and the Kingdom of the Crystal Skull,Wednesday
How to Rob a Bank,Thursday
Hey Hey It's Esther Blueburger,Thursday
The Quiet American,Saturday
Blonde and Blonder,Friday
Wesley Willis: The Daddy of Rock 'n' Roll,Tuesday
Patti Smith: Dream of Life,Tuesday
Day of the Outlaw,Wednesday
Nina's Heavenly Delights,Thursday
Following Sean,Friday
One Hour with You,Tuesday
Lake of Fire,Saturday
The Witnesses,Wednesday
The Oxford Murders,Friday
Shutter,Friday
The Grand,Thursday
Sex and the City,Monday
The Strangers,Thursday
Savage Grace,Friday
Bigger Stronger Faster*,Friday
All the Boys Love Mandy Lane,Friday
Memories of Matsuko,Sunday
Allan Quatermain and the Temple of Skulls,Tuesday
Kung Fu Panda,Wednesday
What Would Jesus Buy?,Sunday
Extreme Private Eros: Love Song 1974,Tuesday
The Emperor's Naked Army Marches On,Saturday
Antonio das Mortes,Tuesday
Recount,Wednesday
Ex Drummer,Wednesday
The Art of Crying,Saturday
Where the Sidewalk Ends,Friday
100 Rifles,Wednesday
Blood Alley,Saturday
Chato's Land,Saturday
Cold Sweat,Friday
The FBI Story,Thursday
"Farewell, Friend",Wednesday
The Iron Mask,Thursday
St. Ives,Sunday
Villa Rides,Wednesday
The Wings of Eagles,Friday
Steamboat Round the Bend,Friday
The World Moves On,Wednesday
Pilgrimage,Wednesday
Lonelyhearts,Wednesday
The Andromeda Strain,Saturday
Boat People,Wednesday
Wrong Move,Wednesday
Dust in the Wind,Wednesday
You Don't Mess with the Zohan,Thursday
The Prefab People,Thursday
The Promotion,Friday
When Did You Last See Your Father?,Friday
My Brother Is an Only Child,Friday
Stuck,Monday
July Rhapsody,Thursday
Flesh Gordon,Tuesday
Telefon,Friday
The Lost World,Wednesday
The Mark of Zorro,Sunday
The Protector,Thursday
The Three Musketeers,Sunday
Warlock,Wednesday
The Fiances,Thursday
Il Posto,Thursday
Chaos Theory,Friday
The Boys & Girls Guide to Getting Down,Friday
Boy A,Sunday
Doctor Who,Sunday
A Complete History of My Sexual Failures,Saturday
The Warlords,Wednesday
Spiral,Monday
Hounddog,Monday
The Happening,Wednesday
The Incredible Hulk,Thursday
Baghead,Monday
The Children of Huang Shi,Thursday
Quill:  The Life of a Guide Dog,Saturday
WALL·E,Sunday
Wanted,Thursday
Hancock,Tuesday
Boy Culture,Wednesday
Ten Minutes Older: The Trumpet,Saturday
Angel Face,Wednesday
Huckleberry Finn,Friday
Tom Sawyer,Monday
Turn the River,Friday
Get Smart,Thursday
Young People Fucking,Wednesday
Brick Lane,Friday
Surfwise,Monday
The Rape of Europa,Sunday
St. Trinian's,Friday
The Penalty,Sunday
Crossed Tracks,Wednesday
Desire,Saturday
Futurama: The Beast with a Billion Backs,Tuesday
Equinox,Thursday
At the Death House Door,Sunday
Archangel,Saturday
Battlefield Baseball,Saturday
The Hourglass Sanatorium,Tuesday
The Color of Pomegranates,Wednesday
David Cross: Let America Laugh,Tuesday
West of Zanzibar,Saturday
Tell It to the Marines,Thursday
The Unholy Three,Wednesday
The Unholy Three,Thursday
London After Midnight,Saturday
Dog Day,Tuesday
The Klansman,Friday
Pocket Money,Saturday
The Goddess,Friday
Bambi II,Thursday
Gunnin' for That #1 Spot,Friday
Finding Amanda,Tuesday
Kit Kittredge: An American Girl,Wednesday
Gonzo: The Life and Work of Dr. Hunter S. Thompson,Friday
The Wackness,Thursday
Up the Yangtze,Sunday
Get Well Soon,Thursday
Strange Circus,Saturday
Along Came Jones,Thursday
The Black Swan,Friday
Cheyenne Autumn,Saturday
Hour of the Gun,Wednesday
Sleepwalking,Monday
Encounters at the End of the World,Saturday
Mauvais Sang,Wednesday
Dante 01,Wednesday
Standard Operating Procedure,Tuesday
Wee Willie Winkie,Friday
A Page of Madness,Friday
Two Women,Friday
Zombie Strippers!,Friday
Frosty the Snowman,Sunday
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,Monday
Roman Polanski: Wanted and Desired,Friday
Z Channel: A Magnificent Obsession,Sunday
Battle For Haditha,Tuesday
Alexandra,Wednesday
Transylvania,Saturday
Mamma Mia!,Thursday
Ganes,Friday
Welcome to the Sticks,Wednesday
The Pornographers,Saturday
Kabluey,Monday
The Stone Angel,Wednesday
Honeydripper,Monday
Summer '04,Wednesday
The Home of Dark Butterflies,Thursday
Dark Floors,Wednesday
Silentium,Thursday
Rogue,Thursday
The Violin,Friday
Sublime,Friday
Towelhead,Friday
No Regrets for Our Youth,Tuesday
"It's the Great Pumpkin, Charlie Brown",Thursday
Lost Islands,Thursday
Borderline,Wednesday
Katyn,Friday
Pan Tadeusz,Monday
Journey to the Center of the Earth,Thursday
Meet Dave,Tuesday
The Machine Girl,Thursday
August,Friday
Death Defying Acts,Thursday
Water Lilies,Thursday
Shrooms,Thursday
Manslaughter,Friday
The Bench,Saturday
Breath,Thursday
Just Another Love Story,Wednesday
The Substitute,Tuesday
Next Door,Thursday
Chinese Roulette,Tuesday
Heartbeat Detector,Wednesday
Flakes,Monday
Death Note,Saturday
A Majority of One,Wednesday
Moving McAllister,Thursday
The Tall T,Tuesday
Music Within,Friday
Transsiberian,Friday
Space Chimps,Thursday
The Last Mistress,Wednesday
Jimmy Carter Man from Plains,Friday
Stargate: Continuum,Tuesday
Watchmen,Thursday
Bravo Two Zero,Thursday
Conspiracy,Friday
War Games: The Dead Code,Tuesday
Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,Friday
Steal a Pencil for Me,Monday
Shotgun Stories,Monday
Watching the Detectives,Tuesday
Mr. Untouchable,Thursday
Blast of Silence,Friday
Felon,Thursday
Step Brothers,Friday
Brideshead Revisited,Friday
The X Files: I Want to Believe,Thursday
American Teen,Friday
Man on Wire,Friday
CSNY/Déjà Vu,Friday
The Little Drummer Boy,Thursday
The Little Mermaid II: Return to the Sea,Wednesday
The Colour of Magic,Sunday
Hogfather,Monday
Mulberry Street,Tuesday
Lost in Beijing,Friday
Pathology,Friday
Love & Pop,Tuesday
The Tracey Fragments,Thursday
The Family Game,Wednesday
The Zone,Saturday
Blindsight,Monday
The Edge of Love,Thursday
The Godless Girl,Sunday
Heart of a Dog,Friday
Bonneville,Monday
Frozen City,Saturday
The Mummy: Tomb of the Dragon Emperor,Tuesday
Swing Vote,Friday
The Midnight Meat Train,Thursday
Frozen River,Friday
Sixty Six,Sunday
Bottle Shock,Wednesday
Vicky Cristina Barcelona,Friday
Batman: Gotham Knight,Thursday
Fist of the North Star,Saturday
Eve and the Fire Horse,Friday
The End of Summer,Sunday
A Moment to Remember,Friday
Year of the Gun,Tuesday
In Paris,Wednesday
The Walker,Tuesday
Gigantics,Thursday
Peppermint Candy,Friday
Pineapple Express,Wednesday
Red Cliff,Thursday
The World's Greatest Lover,Sunday
WΔZ,Saturday
Silent Light,Tuesday
The Take,Monday
Expired,Friday
The Sisterhood of the Traveling Pants 2,Wednesday
Hell Ride,Friday
Elegy,Friday
The Good Humor Man,Tuesday
Bomb It,Friday
Still Life,Friday
Bathory: Countess of Blood,Friday
Quid Pro Quo,Friday
Black Caesar,Wednesday
High School Musical 2,Friday
Tropic Thunder,Saturday
The Objective,Monday
Star Wars: The Clone Wars,Tuesday
Henry Poole Is Here,Friday
In the City of Sylvia,Friday
Mutant Chronicles,Thursday
13 Beloved,Wednesday
Waltz with Bashir,Wednesday
Let the Right One In,Saturday
Hamlet 2,Monday
Death Race,Friday
The House Bunny,Friday
The Longshots,Friday
The Rocker,Wednesday
I.O.U.S.A.,Saturday
Mirrors,Friday
A Girl Cut in Two,Wednesday
Fly Me to the Moon,Friday
Trumbo,Monday
Variety Lights,Wednesday
Path to War,Tuesday
Sukiyaki Western Django,Saturday
American Zombie,Thursday
Noise,Friday
Return to House on Haunted Hill,Wednesday
Feed,Wednesday
Somers Town,Friday
Burn After Reading,Friday
Disaster Movie,Friday
Babylon A.D.,Wednesday
Traitor,Saturday
College,Thursday
Trouble the Water,Sunday
The Women,Friday
The Woman in Black,Sunday
The Onion Movie,Saturday
Sergeant Rutledge,Wednesday
The Mother of Tears,Thursday
The Spirit,Thursday
John Adams,Sunday
Tobacco Road,Thursday
Oh! What a Lovely War,Monday
The Burning Plain,Friday
The Seventh Cross,Monday
Bangkok Dangerous,Thursday
Everybody Wants to Be Italian,Tuesday
The Boys in Company C,Thursday
A Secret,Wednesday
August Evening,Thursday
Flash Point,Thursday
The Fifth Commandment,Thursday
The Subtenant,Friday
The Jammed,Monday
Pu-239,Sunday
Sunflower,Saturday
Son of Lassie,Monday
Flu Bird Horror,Saturday
Dark Blue Almost Black,Friday
The Foot Fist Way,Saturday
Altered,Sunday
Thieves,Wednesday
Righteous Kill,Thursday
Lakeview Terrace,Friday
To Rob a Thief,Friday
Shadows in Paradise,Thursday
Ghost Town,Friday
Maradona by Kusturica,Tuesday
Accused,Friday
Import/Export,Monday
The Crow IV: Wicked Prayer,Friday
In Bed,Wednesday
Jam,Tuesday
"Africa, Goodbye",Friday
Private Parts,Friday
Freebie and the Bean,Wednesday
Sawdust and Tinsel,Monday
Humboldt County,Tuesday
100 Feet,Tuesday
Boot Camp,Thursday
On the Beach,Sunday
An Autumn Afternoon,Sunday
Moonbase,Saturday
Appaloosa,Friday
Miracle at St. Anna,Monday
So Normal,Thursday
The Steamroller and the Violin,Saturday
Dead Fury,Tuesday
Tears of April,Friday
Zuzu Angel,Friday
1984,Tuesday
"Home Among Strangers, a Stranger Among His Own",Monday
Dead Man's Letters,Friday
Eagle Eye,Thursday
How to Lose Friends & Alienate People,Thursday
Six Shooter,Thursday
Nights in Rodanthe,Friday
Look Back in Anger,Thursday
Nick and Norah's Infinite Playlist,Friday
The Secrets,Thursday
Marjoe,Monday
Martyrs,Wednesday
Supermarket Woman,Saturday
Sound of the Mountain,Friday
"Sexo, Amor e Traição",Friday
Red,Tuesday
Part of the Weekend Never Dies,Thursday
The Music Room,Friday
Gomorrah,Friday
The Funeral,Saturday
The Accidental Husband,Friday
KM 31: Kilometer 31,Thursday
The Duchess,Friday
Alone in the Dark 2,Monday
"The Tulse Luper Suitcases, Part 1: The Moab Story",Saturday
Dead Leaves,Friday
The Wrong Man,Sunday
Rachel Getting Married,Friday
Body of Lies,Friday
City of Ember,Tuesday
Magicians,Friday
"20,000 Leagues Under the Sea",Sunday
Ace High,Wednesday
Autism: The Musical,Monday
Max Payne,Wednesday
The Pool,Wednesday
Zack and Miri Make a Porno,Thursday
W.,Friday
My Best Friend's Girl,Friday
Family Life,Wednesday
Adios Sabata,Wednesday
"Synecdoche, New York",Friday
Come to the Stable,Saturday
The Drowning Pool,Tuesday
The Secret Life of Bees,Wednesday
Flash of Genius,Sunday
An American Carol,Friday
The Banishment,Friday
The Wave,Tuesday
Two Worlds,Wednesday
Tokyo-Ga,Friday
Black River,Wednesday
Fallout,Thursday
"Angus, Thongs and Perfect Snogging",Friday
Bad Eggs,Thursday
The Family That Preys,Friday
The Flight Before Christmas,Monday
Quarantine,Friday
Typhoon Club,Saturday
Black Moon,Wednesday
My Sons,Saturday
Lost Boys: The Tribe,Tuesday
Pride and Glory,Tuesday
Fifty Pills,Wednesday
The Express,Friday
Lone Wolf and Cub: Baby Cart to Hades,Tuesday
Lone Wolf and Cub: Baby Cart in Peril,Wednesday
Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,Saturday
Babylon 5: The Lost Tales - Voices in the Dark,Tuesday
The Love of Siam,Thursday
RockNRolla,Thursday
Zen Noir,Wednesday
High School Musical 3: Senior Year,Wednesday
The Wicked Lady,Thursday
I Can Get it For You Wholesale,Thursday
The Adventures of Huckleberry Finn,Friday
Resistance,Wednesday
Futurama: Bender's Game,Monday
Tin Man,Tuesday
Into the West,Friday
The Adventures of Tom Sawyer,Friday
Madagascar: Escape 2 Africa,Thursday
Admiral,Friday
The Affairs of Anatol,Sunday
Blindness,Wednesday
Changeling,Wednesday
Guinea Pig 2: Flower of Flesh and Blood,Monday
The Road,Wednesday
Slumdog Millionaire,Monday
Quantum of Solace,Thursday
Filth and Wisdom,Wednesday
A Tale of Two Cities,Friday
Role Models,Sunday
The Great K&A Train Robbery,Sunday
Rockin' In The Rockies,Tuesday
Tokyo!,Wednesday
Tokyo Gore Police,Friday
Kozara,Tuesday
Sauna,Friday
Chaotic Ana,Friday
JCVD,Wednesday
Repast,Friday
Feiern,Tuesday
Happily Ever After,Wednesday
Cinderella,Sunday
Gold Raiders,Sunday
Slacker Uprising,Thursday
Crows Zero,Friday
The Man Who Challenged the Devil,Friday
The Winning of Barbara Worth,Thursday
The Whole Town's Talking,Friday
The War Lord,Wednesday
Krabat and the Legend of the Satanic Mill,Sunday
Säg att du älskar mig,Friday
Christmas Story,Friday
The Guard Post,Thursday
Every Stewardess Goes to Heaven,Thursday
Goyokin,Thursday
Camp Rock,Friday
Farscape: The Peacekeeper Wars,Thursday
Saw V,Thursday
A Christmas Tale,Friday
Critters 4,Thursday
Restaurant,Saturday
Sex Drive,Thursday
Soul Men,Friday
While She Was Out,Monday
The Island,Thursday
Beverly Hills Chihuahua,Friday
Half Moon,Friday
Purple Violets,Monday
Christmas on Mars,Tuesday
The Blue Hour,Monday
Fanny,Wednesday
The Free Will,Wednesday
Hanzo the Razor: Sword of Justice,Saturday
Where a Good Man Goes,Thursday
The Face of Another,Friday
The Gaucho,Monday
Don Q Son of Zorro,Monday
Three Monkeys,Friday
Casanova '70,Tuesday
Bellissima,Thursday
Tattooed Life,Saturday
Bullfighter and the Lady,Thursday
The Living Sea,Wednesday
The Dirty Dozen: Next Mission,Monday
The Dirty Dozen: The Deadly Mission,Sunday
Wagon Master,Wednesday
Ring of Darkness,Saturday
The Class,Wednesday
When Willie Comes Marching Home,Wednesday
Splinter,Friday
Confessions of a Superhero,Friday
The Manson Family,Monday
Kanak Attack,Thursday
Australia,Tuesday
Bolt,Friday
Revenge of the Zombies,Friday
Milk,Wednesday
The Devil-Doll,Friday
Twilight,Thursday
The Children,Friday
Transporter 3,Wednesday
Four Christmases,Wednesday
The Boy in the Striped Pyjamas,Wednesday
Surveillance,Friday
Stuff and Dough,Friday
Fireproof,Friday
Igor,Friday
The Devil's Chair,Wednesday
Dinotopia,Sunday
Hunger,Thursday
Cadillac Records,Friday
Punisher: War Zone,Friday
The Guyver,Tuesday
Flashbacks of a Fool,Friday
Charulata,Friday
Lady with the Dog,Thursday
The Bell Boy,Monday
Shrek the Halls,Wednesday
The Lovers,Friday
The Blue Light,Thursday
The Pervert's Guide to Cinema,Friday
Hospital,Sunday
Women of the Night,Wednesday
A Matter of Loaf and Death,Wednesday
Ace of Hearts,Tuesday
A Friend of Mine,Thursday
The Long Night,Wednesday
Fools' Parade,Wednesday
Gypsy,Sunday
Malaya,Tuesday
Ninja III: The Domination,Friday
Body of War,Tuesday
The Sun Shines Bright,Saturday
Four Men and a Prayer,Friday
A Man Named Pearl,Friday
Dallas - War of The Ewings,Thursday
Much Ado About Something,Saturday
The Day the Earth Stood Still,Wednesday
Che: Part One,Friday
Che: Part Two,Saturday
Starship Troopers 3: Marauder,Saturday
Dean Spanley,Friday
I Am the Law,Thursday
Boomerang!,Friday
Patterns,Tuesday
Nothing Like the Holidays,Friday
The Climax,Friday
The Strange Door,Thursday
Pandora's Box,Saturday
Doubt,Thursday
Cyborg She,Saturday
The Forgotten One,Wednesday
Gran Torino,Tuesday
Frost/Nixon,Wednesday
The Reader,Wednesday
The Wrecking Crew,Monday
Rab Ne Bana Di Jodi,Thursday
Delgo,Friday
Room of Death,Wednesday
Waiter,Thursday
Sword of the Stranger,Saturday
I've Loved You So Long,Wednesday
Jesus is a Palestinian,Saturday
