title,vote_count,vote_average
Robot Carnival,7,6.9
Americathon,4,2.3
The Chipmunk Adventure,15,5.8
Sands of Iwo Jima,33,6.2
This Island Earth,49,5.6
The ComDads,63,6.2
Anthony Adverse,6,6.3
Blackboard Jungle,45,6.9
Moment by Moment,4,1.3
It Had to Be You,4,5.8
Luna Papa,6,6.5
The Long Way Home,0,0.0
Investigation of a Citizen Above Suspicion,86,7.9
True Love,7,4.8
To Each His Own,3,5.2
The Heiress,35,7.7
State Fair,19,6.2
Dragon Seed,3,3.3
Executive Suite,8,6.7
Johnny Belinda,19,6.3
Super Size Me,520,6.6
Johnny Eager,9,5.3
None But the Lonely Heart,11,5.7
La Jetée,165,7.9
"Distant Voices, Still Lives",24,6.8
The King of Kings,8,5.6
Northwest Passage,11,6.3
The Picture of Dorian Gray,45,7.5
The Born Losers,13,5.3
The Human Condition I: No Greater Love,42,8.5
Samsara,23,7.1
Bachelor Mother,9,5.7
Please Don't Eat the Daisies,18,5.7
Siddhartha,3,5.3
White Heat,92,7.8
Scrooge,81,7.5
Memphis Belle,123,6.4
The Cincinnati Kid,62,7.0
Animal Factory,46,6.6
The Panic in Needle Park,74,6.5
Pretty Baby,48,6.2
Godzilla vs. Mechagodzilla,36,6.3
The Hitcher,192,6.9
Show Boat,18,6.9
Ivanhoe,38,6.9
Box of Moonlight,15,7.1
The Eel,18,6.3
Fear X,46,5.9
Freaks,228,7.7
The Immigrant,55,7.5
Silent Movie,79,6.7
A Matter of Life and Death,73,8.0
Anna Christie,7,5.6
It Lives By Night,5,1.6
Deep Cover,36,6.8
Dr. Jekyll and Mr. Hyde,56,7.3
My Little Chickadee,4,7.5
The High and the Mighty,17,5.5
The Ugly Dachshund,27,6.4
Around the World in 80 Days,687,5.7
I'll Sleep When I'm Dead,28,5.3
DodgeBall: A True Underdog Story,1009,6.2
The Terminal,1974,7.1
Dear Frankie,48,7.1
White Chicks,704,6.3
The Door in the Floor,48,6.0
The Notebook,3163,7.7
Two Brothers,185,6.9
De-Lovely,33,6.3
The Intended,0,0.0
Kaena: The Prophecy,15,5.4
Back to Bataan,16,5.5
Bloodhounds of Broadway,6,5.6
A Day at the Races,44,7.5
Flying Leathernecks,6,6.7
"Now You See Him, Now You Don't",22,7.2
Plain Dirty,1,4.0
Bob & Carol & Ted & Alice,20,6.2
The Littlest Rebel,8,5.4
Reconstruction,27,6.4
Will Vinton's Claymation Christmas Celebration,4,7.6
Happenstance,9,6.1
Kops,58,6.4
Comandante,15,7.1
Undead,57,5.5
The Scarlet and the Black,10,6.4
Into the Woods,10,7.9
Pirates of Silicon Valley,178,6.8
Manufacturing Consent: Noam Chomsky and the Media,21,7.6
The Clock,7,6.6
Leave Her to Heaven,50,7.0
Rapa Nui,33,6.2
Roxie Hart,6,7.0
Mayor of the Sunset Strip,5,7.2
Killing Me Softly,80,5.6
The Winter War,21,7.2
The Philadelphia Experiment,104,6.1
The Wheeler Dealers,6,6.4
Juice,103,7.0
The Secret Life of Girls,1,6.0
The Flim-Flam Man,9,6.7
Revenge of the Pink Panther,121,6.4
Riders,44,5.4
I Am Dina,10,5.5
The Escapist,7,5.9
Angels with Dirty Faces,74,7.6
Zero for Conduct,40,6.8
Shadows,39,7.2
Coming Out,10,7.0
Taxi,653,6.5
Taxi 3,367,5.5
Pull My Daisy,4,5.5
Tokyo Godfathers,178,7.7
The Butcher,36,7.0
Our Hospitality,49,7.7
All of Me,93,6.4
The Farmer's Daughter,4,5.5
Lassie Come Home,24,6.4
The Time of Your Life,3,4.0
Overboard,240,6.7
The Mask of Fu Manchu,15,5.2
By the Light of the Silvery Moon,3,5.7
BUtterfield 8,14,5.4
Johnny Guitar,78,7.6
Sister My Sister,19,6.0
The Exterminating Angel,118,7.8
ivans xtc.,7,5.2
Fahrenheit 9/11,403,6.9
Roxanne,174,6.4
Freedom Downtime,6,7.7
The Same River Twice,2,7.0
Dr. Terror's House of Horrors,33,5.9
Confessions of a Burning Man,2,4.0
Search and Destroy,4,6.1
The Book of Life,9,6.9
Such a Long Journey,0,0.0
Hard Times,56,6.7
Secret Society,0,0.0
The Last Starfighter,225,6.5
Tank,23,5.8
Last Cannibal World,16,6.3
Spider-Man 2,4432,6.7
America's Heart and Soul,2,4.3
Before Sunset,734,7.6
The Clearing,57,5.6
King Arthur,827,6.1
Anchorman: The Legend of Ron Burgundy,1523,6.7
Sleepover,105,5.4
A Cinderella Story,737,6.1
"I, Robot",3889,6.7
Maria Full of Grace,103,6.9
Distant Drums,14,5.6
Follow That Dream,15,6.0
The Girl of Your Dreams,15,7.1
Gray Lady Down,20,6.7
Long Day's Journey Into Night,13,6.2
Man of La Mancha,15,6.7
The Night of the Following Day,10,5.3
Posse,10,5.1
Prince Valiant,7,5.9
Rustlers' Rhapsody,9,4.9
A Short Film About Killing,58,7.6
The Tin Star,20,7.0
Zandalee,23,4.2
Brief Crossing,6,5.7
The Deluge,7,7.4
How the West Was Won,83,6.6
Joan of Arc,11,6.4
Live Forever,3,5.5
Mr. Klein,24,7.3
The Bourne Supremacy,2873,7.2
Catwoman,833,4.2
A Home at the End of the World,45,6.8
Some Girl,4,5.0
Stay Hungry,15,5.8
The Testament of Dr. Mabuse,46,7.5
Zus & Zo,4,6.3
Battle Hymn,3,7.3
Crash Dive,5,5.6
Disco Pigs,19,5.8
The Enemy Below,46,7.2
Fist of the North Star,15,4.4
Flash Gordon Conquers the Universe,7,5.1
Guns of the Magnificent Seven,19,5.1
The Hunters,7,4.8
In a Glass Cage,24,7.0
Lancelot of the Lake,16,5.6
The Last Valley,14,6.2
The Magnificent Seven Ride!,12,5.5
A Man Escaped,93,8.0
The Miracle of Marcelino,34,6.0
Morituri,14,5.9
Orgy of the Dead,10,3.2
Shalako,12,5.4
A Shock to the System,24,6.7
Slaughterhouse-Five,47,6.3
His Brother,4,6.1
Wake Island,5,6.0
What Price Glory,3,6.3
You Were Never Lovelier,9,7.8
The Bachelor and the Bobby-Soxer,24,7.1
Breezy,32,7.2
The City of No Limits,8,6.5
The Comfort of Strangers,24,5.9
Dancing in September,1,6.5
Destination Tokyo,14,6.4
Dr. Jekyll and Ms. Hyde,12,4.8
Dream Lover,13,5.9
Fausto 5.0,3,5.3
For Queen & Country,14,5.3
Funny About Love,7,4.8
The Greatest,6,7.2
Grief,1,3.0
Hometown Legend,2,4.5
How I Got Into College,12,5.5
Map of the Human Heart,13,6.7
Mr. Blandings Builds His Dream House,43,7.2
My Favorite Wife,32,7.2
The New Adventures of Pippi Longstocking,18,5.8
Night and Day,8,4.8
No Name on the Bullet,17,5.6
The Plainsman,2,7.0
Slaughter of the Innocents,5,5.9
The Snake Pit,19,7.1
The Spoilers,10,5.8
The Super,21,5.5
Tai-Pan,6,4.3
Two of a Kind,28,5.7
Warriors,3,3.7
The Leopard,133,7.8
"Goodbye, Columbus",8,4.3
The President's Analyst,12,5.3
The Day of the Locust,16,6.2
The Creeping Flesh,18,6.0
Swann in Love,8,6.0
To End All Wars,42,6.7
Moulin Rouge,17,6.5
The Belly of an Architect,22,6.6
The Nest,32,6.1
Love Happy,11,5.4
High School Confidential!,3,6.0
Out of the Blue,17,6.5
Crimetime,1,4.0
A Woman Is a Woman,63,7.5
Mamma Roma,45,7.5
The Lower Depths,28,6.7
Ruby Cairo,8,4.4
Night Patrol,3,4.8
Biggles,18,5.1
Fancy Pants,4,5.1
The World of Suzie Wong,7,6.5
King of the Ants,21,5.9
Uncle Sam,11,5.1
"Yesterday, Today and Tomorrow",57,7.5
La Belle Noiseuse,25,7.4
La balance,12,5.9
Gun Crazy,57,7.2
The Set-Up,21,6.8
Unprecedented: The 2000 Presidential Election,4,8.3
The Prime of Miss Jean Brodie,32,6.3
My Voyage to Italy,13,7.2
The North Avenue Irregulars,4,5.5
Lovers and Other Strangers,5,5.2
Kotch,3,6.7
Greyfriars Bobby: The True Story of a Dog,13,6.8
Side Out,10,4.0
The Three Lives of Thomasina,12,6.8
"No Deposit, No Return",9,6.7
"The One and Only, Genuine, Original Family Band",3,5.5
Under the Lighthouse Dancing,0,0.0
This Gun for Hire,29,7.1
Black Angel,13,5.8
The Big Clock,32,6.5
Criss Cross,32,6.7
The Fifth Musketeer,3,6.0
Evilspeak,22,5.2
Terror by Night,27,6.6
The Spy Who Came in from the Cold,73,7.0
Sherlock Holmes and the Secret Weapon,23,6.8
The Woman in Green,21,6.2
The Counterfeit Traitor,10,5.2
"One, Two, Three, Sun",4,5.6
Roadkill,5,5.3
Dressed to Kill,21,6.8
Bon voyage,20,5.7
The Assassination Bureau,14,5.8
The Manchurian Candidate,401,6.2
Thunderbirds,92,4.2
The Village,1101,6.2
Garden State,631,7.1
Early Summer,32,8.1
Port of Shadows,31,7.4
Thunderbirds are GO,18,5.9
Thunderbird 6,17,6.1
Castle Keep,16,5.1
Revengers Tragedy,2,3.8
Beyond Hypothermia,4,5.3
Octane,14,5.1
PTU,30,6.7
Unfinished Piece for Mechanical Piano,9,5.9
The Warrior,15,6.3
A Funny Thing Happened on the Way to the Forum,26,6.1
Salesman,14,7.8
Collateral,1476,7.0
Little Black Book,114,5.2
Code 46,116,6.2
In the Soup,10,5.9
They Came to Cordura,6,6.2
Blue Spring,21,6.4
Story of Women,21,7.8
Attack the Gas Station!,40,6.3
Masques,6,5.9
Harold & Kumar Go to White Castle,709,6.6
The Princess Diaries 2: Royal Engagement,726,6.0
Danny Deckchair,23,5.6
AVP: Alien vs. Predator,1241,5.6
Yu-Gi-Oh! The Movie,71,5.4
Novo,10,6.4
We Don't Live Here Anymore,29,5.8
Without a Paddle,217,5.3
Exorcist: The Beginning,189,4.7
Speedway,10,5.3
The Trouble with Girls,6,5.3
It Happened at the World's Fair,12,5.4
Double Trouble,6,6.1
Spinout,8,5.2
Harum Scarum,4,5.5
The Spaceman and King Arthur,7,5.1
The Sting II,12,4.5
If a Man Answers,7,5.4
Cheerleader Camp,19,5.2
Human Resources,8,6.4
Bill Cosby: Himself,14,7.5
Dead Ringer,22,6.9
Benji: Off the Leash!,6,4.8
Anacondas: The Hunt for the Blood Orchid,200,4.9
Suspect Zero,99,5.5
Warriors of Heaven and Earth,32,6.2
Vanity Fair,75,5.5
The Cookout,10,4.6
Paparazzi,52,5.8
Wicker Park,159,6.7
Triggermen,3,4.7
Alice Doesn't Live Here Anymore,83,6.7
The Mangler,59,4.4
Who's That Knocking at My Door,30,5.9
Seeing Other People,8,5.6
Past Midnight,3,6.3
A Million to Juan,3,4.3
Camera Buff,17,7.3
No End,5,7.0
Highwaymen,50,5.8
Graffiti Bridge,8,5.4
I Vitelloni,79,7.6
Under the Cherry Moon,12,5.7
Flipper,17,5.1
Smile,10,6.9
Lord Jim,21,6.8
A Small Circle of Friends,1,6.0
Night of the Demons,71,6.1
Witchboard,59,5.8
Roller Boogie,12,5.0
Lilith,16,6.5
The Apple,13,4.6
Superbabies: Baby Geniuses 2,36,1.9
Cellular,548,6.1
Resident Evil: Apocalypse,1286,6.1
Criminal,34,6.5
Evergreen,1,7.0
Mr. 3000,66,5.0
Sky Captain and the World of Tomorrow,445,5.7
Wimbledon,303,6.0
Anatomy of Hell,29,5.2
Head in the Clouds,41,5.8
First Daughter,176,5.4
The Forgotten,359,5.5
The Last Shot,15,5.9
A Dirty Shame,65,5.4
The Motorcycle Diaries,295,7.2
Shaun of the Dead,2479,7.5
"Come Back, Little Sheba",8,6.4
The Black Orchid,3,3.3
Second Chorus,8,5.6
Class of Nuke 'Em High 2: Subhumanoid Meltdown,14,4.9
Murder on the Orient Express,240,6.9
Mask,106,7.0
Alexander's Ragtime Band,6,4.8
The Boston Strangler,51,6.7
The Last Flight of Noah's Ark,13,5.7
The Man with One Red Shoe,74,5.4
The Sentinel,53,6.3
Sssssss,19,5.9
Whispers in the Dark,7,5.8
Stealing Time,2,4.3
The Legacy,19,5.3
The Alligator People,11,6.1
Hear No Evil,6,4.7
Basket Case 3,23,4.8
Basket Case 2,33,5.6
Orca: The Killer Whale,69,5.5
AKA,4,5.3
I Married a Monster from Outer Space,12,6.0
The Trojan Women,4,6.1
Robinson Crusoe,18,6.4
Hardcore,40,6.7
Watermelon Man,6,6.8
Flashpoint,10,6.7
Bug,23,6.7
The Terror,26,5.0
Jack O,10,4.1
1492: Conquest of Paradise,180,6.1
Cannibal Holocaust,347,5.8
Shark Tale,1612,5.8
Ladder 49,213,6.2
Black Cloud,0,0.0
I Heart Huckabees,245,6.2
Raise Your Voice,221,6.0
Taxi,245,4.8
Around the Bend,13,6.1
Primer,671,6.9
Stage Beauty,34,7.0
Shall We Dance?,308,5.9
Team America: World Police,667,6.6
Eulogy,34,6.4
P.S.,15,5.9
The Country Girl,10,6.7
The Rose Tattoo,10,6.4
Epidemic,23,6.2
Tess,70,6.6
I Wanna Hold Your Hand,29,6.5
Spinning Boris,4,6.0
Circle of Iron,14,5.9
Cannonball,20,5.7
The Fearless Vampire Killers,137,6.9
Black Beauty,8,5.6
The Five Obstructions,33,6.7
Born Rich,6,6.7
It's Alive,39,5.6
The Decline of the American Empire,21,6.8
Bébé's Kids,14,6.4
All I Want For Christmas,24,5.6
Life and Nothing But,7,6.4
Friday Night Lights,154,7.0
Tarnation,22,7.5
The Final Cut,194,5.9
Hair Show,1,0.5
Riding the Bullet,52,5.0
Spin,2,4.8
Being Julia,23,6.4
The Dust Factory,8,4.5
Thérèse: The Story of Saint Thérèse of Lisieux,2,6.3
Surviving Christmas,107,5.1
The Grudge,889,5.8
Alfie,255,5.5
Sideways,484,6.9
The Machinist,1280,7.3
Vera Drake,80,6.8
Falling Angels,5,6.2
Stella Street,2,3.5
Lightning in a Bottle,1,9.0
Undertow,34,5.9
Enduring Love,30,5.8
Saw,2255,7.2
Ray,481,7.2
Birth,182,5.9
Voices of Iraq,1,9.0
The Incredibles,5290,7.4
Fade to Black,6,7.1
It's All About Love,25,5.9
Callas Forever,5,6.0
The Polar Express,1524,6.4
Kinsey,131,6.6
Seed of Chucky,302,4.9
After the Sunset,227,6.0
Bridget Jones: The Edge of Reason,775,6.1
Finding Neverland,1269,7.2
Veer-Zaara,67,7.5
National Treasure,1974,6.4
Bad Education,223,7.1
The SpongeBob SquarePants Movie,593,6.7
Fabled,0,0.0
San Antonio,3,4.3
Alexander,957,5.6
Christmas with the Kranks,198,5.2
Guerrilla: The Taking of Patty Hearst,3,7.0
Our Music,12,6.2
Closer,845,6.7
I Am David,28,6.9
House of Flying Daggers,452,7.1
Ocean's Twelve,2169,6.4
Blade: Trinity,1276,5.7
The Bellboy,22,6.1
Bush's Brain,3,7.0
Cinderfella,25,6.7
Damn Yankees!,9,7.2
The Delicate Delinquent,11,6.4
The Disorderly Orderly,16,5.8
The Errand Boy,13,5.5
The Family Jewels,14,6.2
The Ladies Man,20,7.0
The Patsy,13,5.7
Stateside,12,5.6
The Stooge,9,6.7
That's Entertainment!,15,7.9
"That's Entertainment, Part II",9,6.6
That's Entertainment! III,10,7.5
The Wackiest Ship in the Army,8,5.1
Alexander the Great,18,6.0
Conquest of Space,8,5.0
D.A.R.Y.L.,81,6.2
Fire in the Sky,128,6.5
The Garden of Allah,4,6.1
I'll Be Seeing You,4,4.9
The Invisible Man Returns,17,6.3
The Last Minute,5,5.2
Love Me If You Dare,531,7.4
Portrait of Jennie,18,6.9
Ruby Gentry,4,6.8
Secret Honor,9,6.8
Since You Went Away,7,4.1
A Slipping Down Life,2,2.5
Splatter University,10,5.1
Twist,4,4.5
Control Room,19,7.7
Celsius 41.11: The Temperature at Which the Brain... Begins to Die,1,9.0
The Cheat,11,4.8
Dr. Jekyll and Mr. Hyde,26,6.8
The Golem: How He Came Into the World,29,7.0
The Last of the Mohicans,7,6.1
The Idle Class,10,6.1
The Phantom Carriage,70,7.7
Destiny,25,7.4
The Sheik,10,6.3
Häxan,66,7.5
The Man from Beyond,0,0.0
The Hunchback of Notre Dame,24,6.4
Why Worry?,3,6.0
He Who Gets Slapped,15,7.2
The Marriage Circle,4,5.6
"Sherlock, Jr.",134,8.1
The Big Parade,22,7.0
The Freshman,18,7.7
Greed,25,7.5
The Phantom of the Opera,78,7.0
The Jazz Singer,30,6.4
October (Ten Days that Shook the World),27,6.5
Old San Francisco,0,0.0
The Unknown,24,7.6
Pandora's Box,46,7.6
The Cameraman,54,8.1
The Fall of the House of Usher,23,7.5
The Crowd,25,7.4
The Man Who Laughs,32,7.4
Sadie Thompson,7,6.4
"Steamboat Bill, Jr.",66,7.9
Applause,7,6.6
Un chien andalou,256,7.5
Little Caesar,63,6.9
L'Âge d'Or,53,6.7
The Champ,13,6.8
Monkey Business,34,7.1
Night Nurse,17,6.2
Boudu Saved from Drowning,24,6.9
Doctor X,20,5.8
Land Without Bread,21,6.5
The Old Dark House,46,6.7
Rasputin and the Empress,3,4.0
Scarface,88,7.5
Shanghai Express,37,6.5
"I Was Born, But...",21,7.0
Vampyr,96,7.2
What Price Hollywood?,9,5.7
Dinner at Eight,19,6.5
The Ghoul,13,5.0
Gold Diggers of 1933,29,7.2
Island of Lost Souls,56,7.0
Lady for a Day,17,6.2
She Done Him Wrong,28,5.2
The Son of Kong,31,5.2
The Vampire Bat,12,5.0
Wild Boys of the Road,12,6.2
L'Atalante,75,7.3
The Barretts of Wimpole Street,3,4.7
The Black Cat,54,6.5
Imitation of Life,17,6.1
The Lawless Frontier,8,4.0
The Lost Patrol,18,5.9
The Merry Widow,10,6.2
The Scarlet Pimpernel,14,7.1
Toni,12,7.1
Bonnie Scotland,14,7.1
The Informer,23,6.5
Mark of the Vampire,27,6.1
The Raven,29,6.8
Werewolf of London,32,6.4
The Crime of Monsieur Lange,7,6.2
Fury,38,7.5
Libeled Lady,21,6.6
Mr. Deeds Goes to Town,69,7.3
The Petrified Forest,53,7.1
Revolt of the Zombies,3,3.0
Show Boat,4,7.5
These Three,12,7.2
Wife vs. Secretary,12,6.5
Camille,28,6.8
Captains Courageous,35,6.7
Dead End,19,7.1
Double Wedding,2,7.5
Nothing Sacred,13,6.6
The Prisoner of Zenda,11,8.4
Stage Door,15,6.2
Topper,21,6.2
The Big Broadcast of 1938,1,7.0
The Dawn Patrol,10,6.3
Holiday,59,7.0
The Shopworn Angel,6,6.5
Gaslight,20,7.1
Intermezzo: A Love Story,6,8.3
The Roaring Twenties,55,7.5
Wuthering Heights,56,7.4
The Story of the Last Chrysanthemum,19,7.7
Abe Lincoln in Illinois,4,6.0
Boom Town,8,6.5
Brother Orchid,7,6.7
"Edison, the Man",5,6.0
The Letter,42,7.4
The Sea Hawk,29,7.2
Ball of Fire,38,7.4
The 47 Ronin,8,6.9
Here Comes Mr. Jordan,21,6.0
In the Navy,8,6.2
It Started with Eve,6,7.7
Never Give a Sucker an Even Break,3,7.2
That Uncertain Feeling,9,7.0
Across the Pacific,17,6.5
All Through the Night,8,6.2
Gentleman Jim,12,7.1
The Hard Way,4,7.3
My Favorite Blonde,3,4.3
Why We Fight: Prelude to War,5,5.6
Random Harvest,24,6.7
Tales of Manhattan,8,6.9
Action in the North Atlantic,12,7.0
A Guy Named Joe,8,6.0
Heaven Can Wait,40,6.9
The Heavenly Body,2,5.5
The Memphis Belle: A Story of a Flying Fortress,1,5.0
Mr. Lucky,14,6.4
Thousands Cheer,2,7.0
Day of Wrath,41,8.3
Cover Girl,17,6.4
The Curse of the Cat People,21,5.8
Henry V,25,7.0
Torment,18,6.9
The Mask of Dimitrios,11,6.1
Ministry of Fear,40,6.5
The Miracle of Morgan’s Creek,22,6.7
Mr. Skeffington,15,6.8
Mrs. Parkington,4,6.6
Passage to Marseille,12,6.4
The White Cliffs of Dover,3,4.7
The Woman in the Window,43,7.5
The Enchanted Cottage,5,5.4
Isle of the Dead,20,5.6
"Ivan the Terrible, Part I",30,7.0
The Southerner,10,5.7
They Were Expendable,31,6.0
A Tree Grows in Brooklyn,20,7.3
The Beast with Five Fingers,14,6.8
The Blue Dahlia,37,6.6
The Dark Mirror,18,6.3
Deception,14,5.9
Great Expectations,71,7.2
Humoresque,17,7.1
Shoeshine,41,7.6
The Stranger,71,7.0
Mourning Becomes Electra,3,6.7
Nightmare Alley,27,7.4
Odd Man Out,45,7.3
Road to Rio,12,6.5
The Two Mrs. Carrolls,17,6.0
3 Godfathers,39,6.1
B.F.'s Daughter,1,6.0
The Babe Ruth Story,1,5.0
Easter Parade,31,6.7
Fort Apache,68,6.8
The Lady from Shanghai,108,7.2
Letter from an Unknown Woman,58,8.1
Louisiana Story,10,6.5
The Naked City,67,7.2
The Pirate,17,6.6
They Live by Night,25,6.5
The Three Musketeers,21,6.2
Unfaithfully Yours,22,7.8
Yellow Sky,22,6.7
The Barkleys of Broadway,11,7.4
In the Good Old Summertime,10,6.7
A Letter to Three Wives,26,6.8
Orpheus,46,8.0
The Secret Garden,3,6.7
The Story of Seabiscuit,3,4.5
Annie Get Your Gun,22,7.3
Les Enfants Terribles,19,6.7
The Gunfighter,30,6.7
King Solomon's Mines,23,6.3
Los Olvidados,70,7.9
Scandal,19,6.6
Summer Stock,14,6.5
Europe '51,17,7.1
Carbine Williams,8,6.6
Carrie,8,5.3
Clash by Night,18,6.8
The Prisoner of Zenda,10,6.9
The Life of Oharu,38,8.4
Son of Paleface,13,6.2
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,23,6.7
Gun Fury,11,5.5
Gate of Hell,17,6.6
Man on a Tightrope,6,5.3
The Titfield Thunderbolt,18,7.3
The Belles of St. Trinian's,17,6.4
The Crucified Lovers,22,7.6
French Cancan,12,6.4
It Should Happen to You,7,7.7
"The Long, Long Trailer",9,7.3
Magnificent Obsession,27,6.9
Salt of the Earth,17,7.3
Samurai I: Musashi Miyamoto,36,7.4
A Star Is Born,56,7.1
Three Coins in the Fountain,13,6.2
The Wild One,59,6.9
The Cobweb,6,4.3
It's Always Fair Weather,6,8.7
Mr. Arkadin,28,6.8
Night and Fog,97,8.3
Samurai II: Duel at Ichijoji Temple,23,7.3
The Seven Little Foys,3,6.3
The Unknown Soldier,19,7.8
Anything Goes,4,7.5
The Burmese Harp,29,7.7
Carousel,23,5.5
Samurai III: Duel at Ganryu Island,24,7.4
Rodan,22,5.7
Barnacle Bill,4,5.3
Chase a Crooked Shadow,7,7.1
Fiend Without a Face,19,5.9
Jailhouse Rock,30,5.8
Man of a Thousand Faces,6,6.2
The Spirit of St. Louis,36,6.4
The Undead,7,4.4
Zero Hour!,12,6.7
Carve Her Name with Pride,9,5.4
Corridors of Blood,9,6.3
Giants and Toys,6,5.8
The Last Hurrah,9,7.5
Machine-Gun Kelly,8,6.6
Teacher's Pet,26,6.5
Torpedo Run,4,5.8
The Vikings,53,6.7
Al Capone,7,6.9
Picnic on the Grass,6,6.1
Invisible Invaders,14,4.9
The Human Condition II: Road to Eternity,31,8.5
Fires on the Plain,17,7.8
North West Frontier,12,7.1
The Nun's Story,46,7.4
Pickpocket,89,7.3
Floating Weeds,33,7.7
The Young Philadelphians,8,7.1
The Leech Woman,8,4.8
When a Woman Ascends the Stairs,20,8.1
The Sundowners,12,6.8
Sunrise at Campobello,2,6.3
The Bad Sleep Well,57,7.7
Bachelor in Paradise,3,7.2
The Deadly Companions,14,4.8
The Four Horsemen of the Apocalypse,4,5.8
The Intruder,15,6.4
Murder She Said,31,7.0
The Human Condition III: A Soldier's Prayer,28,8.4
Paris Blues,10,5.1
Taste of Fear,15,6.7
Advise & Consent,27,7.5
David and Lisa,12,6.7
Eegah,18,2.8
Harakiri,136,8.2
The Loneliness of the Long Distance Runner,39,7.5
The Music Man,47,6.7
Mutiny on the Bounty,68,6.5
An Occurrence at Owl Creek Bridge,19,8.5
The Four Days of Naples,4,7.5
Il Sorpasso,92,8.1
The Wonderful World of the Brothers Grimm,5,5.8
L'eclisse,68,7.7
Les Carabiniers,7,6.2
The Cardinal,9,6.6
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,15,2.7
The Kiss of the Vampire,20,6.7
Love with the Proper Stranger,17,6.2
McLintock!,54,6.2
Murder at the Gallop,23,6.3
A New Kind of Love,2,6.5
The Prize,17,6.4
Sunday in New York,10,5.3
Crooks in Clover,96,7.8
36 Hours,19,6.9
Becket,45,7.2
Behold a Pale Horse,4,5.0
The Best Man,7,6.6
"Hush... Hush, Sweet Charlotte",54,7.0
The Killers,40,6.5
The Naked Kiss,41,6.7
Onibaba,73,7.6
Robin and the 7 Hoods,23,6.2
Robinson Crusoe on Mars,44,6.5
Spider Baby,41,7.1
The Visit,8,6.6
What a Way to Go!,16,7.2
Docking the Boat,8,6.0
The Battle of Algiers,167,7.8
A Charlie Brown Christmas,156,7.5
Dracula: Prince of Darkness,54,6.1
The Hallelujah Trail,24,6.1
The Heroes of Telemark,29,5.9
The Hill,50,7.6
In Harm's Way,25,6.5
Incubus,6,4.3
The Loved One,13,6.7
Major Dundee,41,6.2
Operation Crossbow,20,5.9
Ride in the Whirlwind,20,6.0
A Thousand Clowns,9,6.8
The Train,74,7.2
Andrei Rublev,139,8.0
Au Hasard Balthazar,74,7.8
Batman,209,6.1
Grand Prix,39,6.3
Khartoum,18,5.8
Dragon Inn,10,7.0
Manos: The Hands of Fate,56,2.0
Closely Watched Trains,52,7.3
Tokyo Drifter,46,7.4
Asterix the Gaul,136,6.4
"Gappa, the Triphibian Monster",6,3.9
Dont Look Back,35,7.5
Fando and Lis,22,6.8
The Incident,8,5.9
Branded to Kill,57,7.4
The Bride Wore Black,41,7.3
PlayTime,99,8.0
Point Blank,97,7.1
The Shooting,29,6.1
The St. Valentine's Day Massacre,19,5.8
Titicut Follies,23,7.3
Tony Rome,13,6.2
Two for the Road,51,7.2
Up the Down Staircase,5,6.2
The War Wagon,36,6.6
Asterix and Cleopatra,191,6.9
The Diamond Arm,44,7.9
Dracula Has Risen from the Grave,39,6.8
Head,22,6.4
The Heart Is a Lonely Hunter,14,7.2
"I Love You, Alice B. Toklas!",13,5.8
Petulia,6,6.0
The Subject Was Roses,3,7.0
Sympathy for the Devil,12,6.5
War and Peace,16,7.5
"Yours, Mine and Ours",28,6.2
Alice's Restaurant,22,5.5
Camille 2000,5,6.4
Colossus: The Forbin Project,50,7.1
Death Rides a Horse,31,6.9
"Goodbye, Mr. Chips",10,7.1
Journey to the Far Side of the Sun,36,6.3
Last Summer,8,5.0
My Night at Maud's,45,7.6
The Magic Christian,13,6.0
Marlowe,26,6.2
More,11,6.5
The Reivers,17,5.9
Taste the Blood of Dracula,42,5.9
The Joke,9,6.4
...tick... tick... tick...,7,6.2
Brewster McCloud,15,6.7
Violent City,7,6.9
Dirty Dingus Magee,4,5.8
Dodes'ka-den,22,6.7
Gamera vs. Jiger,6,5.5
Claire's Knee,35,7.4
"Hi, Mom!",20,5.8
House of Dark Shadows,13,6.7
A Swedish Love Story,32,7.5
The Landlord,9,5.5
On a Clear Day You Can See Forever,12,6.0
Performance,46,6.9
A Trip Down the River,11,7.8
Long Live Death,8,6.1
The White Sun of the Desert,25,7.5
Zabriskie Point,78,7.1
The Beguiled,86,7.0
The Devils,90,7.4
Duel,374,7.2
Evil Roy Slade,9,5.9
The Go-Between,24,6.2
Johnny Got His Gun,65,7.2
Lawman,24,6.5
Let's Scare Jessica to Death,51,6.6
They Call Me Trinity,269,7.5
Mon oncle Antoine,6,8.2
A New Leaf,29,7.1
Nicholas and Alexandra,23,7.0
Von Richthofen and Brown,4,6.5
Scars of Dracula,31,5.9
Support Your Local Gunfighter,21,6.6
Sweet Sweetback's Baadasssss Song,19,4.7
El Topo,109,7.4
The Emigrants,25,6.8
Blood of Ghastly Horror,4,1.5
Brother John,5,6.2
Dr. Phibes Rises Again,37,6.2
Dracula A.D. 1972,30,6.0
Get to Know Your Rabbit,3,7.0
The Tall Blond Man with One Black Shoe,58,6.9
Lone Wolf and Cub: Sword of Vengeance,36,7.1
